관리지역,배움터 유형,배움터명,배움터주소,시군구,이용정원
서울특별시,거점센터,성산1동 주민센터 4층 디지털배움터,서울특별시 마포구 성산로4길 15 (성산동),마포구,20
서울특별시,거점센터,곰달래어르신복지센터,서울특별시 강서구 강서로5길 50 (화곡동),강서구,25
서울특별시,거점센터,서울시민대학 동남권 캠퍼스,"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오)",강동구,12
서울특별시,거점센터,창동아우르네,서울특별시 도봉구 마들로13길 84 (창동),도봉구,25
서울특별시,체험존,곰달래어르신복지센터[체험존],서울특별시 강서구 강서로5길 50 (화곡동) 곰달래문화복지센터 3층,강서구,30
서울특별시,체험존,서울발달장애인훈련센터[체험존],서울특별시 동대문구 왕산로23길 55 (제기동),동대문구,30
서울특별시,체험존,서울남부발달장애인훈련센터[체험존],서울특별시 영등포구 선유동2로 57 (양평동4가) 이레빌딩 3층,영등포구,25
서울특별시,체험존,창동아우르내[체험존],서울특별시 도봉구 마들로13길 84 (창동) 2층,도봉구,30
서울특별시,체험존,서울시민대학 동남권 캠퍼스[체험존],"서울특별시 강동구 고덕로 399 (고덕동, 고덕센트럴푸르지오) 서울시민대학 동남권 캠퍼스 4층 (104동)",강동구,30
서울특별시,체험존,성산1동 주민센터  4층 디지털배움터[체험존],서울특별시 마포구 성산로4길 15 (성산동) 성산1동 주민센터 4층 성산교육장 체험존,마포구,20
서울특별시,체험존,스마트 구로 홍보관[체험존],서울특별시 구로구 새말로 지하117-21 (신도림동) (신도림역 지하1번출구나와서 왼쪽),구로구,30
