관리지역,시군구,배움터명,배움터주소,배움터 유형,이용정원
경기도,수원시 팔달구,수원시 가족여성회관,경기도 수원시 팔달구 매산로 119 (교동),거점센터,20
경기도,성남시 수정구,수정도서관,경기도 성남시 수정구 수정로332번길 32 (산성동),거점센터,20
경기도,오산시,중앙동 행정복지센터,경기도 오산시 경기대로 307 (오산동),거점센터,20
경기도,의정부시,(재)의정부시 평생학습원,경기도 의정부시 의정로 165 (가능동),거점센터,20
경기도,부천시,(사)부천시 지체장애인협회,경기도 부천시 원미구 부천로136번길 30 (원미동),거점센터,20
경기도,안성시,안성맞춤아트홀 주민편의동,경기도 안성시 발화대길 21 (현수동),거점센터,20
경기도,안성시,안성맞춤아트홀 주민편의동 [체험존],경기도 안성시 발화대길 21 (현수동) 안성맞춤아트홀 주민편의동 1층 로비,체험존,0
경기도,성남시 수정구,수정도서관 [체험존],경기도 성남시 수정구 수정로332번길 32 (산성동) 수정도서관 2층,체험존,0
경기도,오산시,중앙동 행정복지센터 [체험존],경기도 오산시 경기대로 307 (오산동) 중앙동 행정복지센터 1층 로비,체험존,0
경기도,의정부시,(재)의정부시 평생학습원 [체험존],경기도 의정부시 의정로 165 (가능동) (재)의정부시 평생학습원 4층,체험존,0
경기도,김포시,김포시종합사회복지관 [체험존],경기도 김포시 사우중로 100 (사우동) 김포시종합사회복지관 1층 로비,체험존,0
경기도,부천시,(사)부천시 지체장애인협회 [체험존],경기도 부천시 원미구 부천로136번길 30 (원미동) 부천시 지체장애인협회 1층 로비,체험존,0
경기도,의정부시,경기북부발달장애훈련센터 [체험존],경기도 의정부시 시민로 62 (의정부동) 삼성생명빌딩 7층 경기북부발달장애훈련센터 로비,체험존,0
경기도,광명시,광명종합사회복지관 [체험존],경기도 광명시 오리로 1018 (광명동) 광명종합사회복지관 4층,체험존,0
경기도,수원시 팔달구,수원시 가족여성회관 [체험존],경기도 수원시 팔달구 매산로 119 (교동) 수원시 가족여성회관 본관 1층 로비,체험존,0
