연도,연령,디지털 배움터 교육인원(명)
2020,10대이하,90759
2020,20대,38977
2020,30대,37178
2020,40대,78600
2020,50대,59640
2020,60대,59127
2020,70대이상,46870
2020,연령미상,16952
2021,10대이하,137500
2021,20대,26816
2021,30대,30395
2021,40대,80762
2021,50대,89088
2021,60대,128349
2021,70대이상,162844
2021,연령미상,526
2022,10대이하,128003
2022,20대,27068
2022,30대,27045
2022,40대,68701
2022,50대,91465
2022,60대,167212
2022,70대이상,270796
2022,연령미상,12358
2023,10대이하,160888
2023,20대,29540
2023,30대,29396
2023,40대,72642
2023,50대,97490
2023,60대,208390
2023,70대이상,372478
2023,연령미상,25615
2024,10대이하,66165
2024,20대,21404
2024,30대,19661
2024,40대,32408
2024,50대,44710
2024,60대,121625
2024,70대이상,238181
2024,연령미상,1506
