광역지자체,기초지자체,교육인원
서울특별시,종로구,2726
서울특별시,중구,3662
서울특별시,용산구,2668
서울특별시,성동구,5094
서울특별시,광진구,3246
서울특별시,동대문구,3028
서울특별시,중랑구,2805
서울특별시,성북구,4521
서울특별시,강북구,7292
서울특별시,도봉구,4424
서울특별시,노원구,7399
서울특별시,은평구,8232
서울특별시,서대문구,3874
서울특별시,마포구,6524
서울특별시,양천구,4808
서울특별시,강서구,5672
서울특별시,구로구,4989
서울특별시,금천구,3237
서울특별시,영등포구,3580
서울특별시,동작구,5013
서울특별시,관악구,3396
서울특별시,서초구,3818
서울특별시,강남구,2096
서울특별시,송파구,4663
서울특별시,강동구,9248
부산광역시,중구,3793
부산광역시,서구,4582
부산광역시,동구,6715
부산광역시,영도구,4245
부산광역시,부산진구,10318
부산광역시,동래구,11024
부산광역시,남구,6158
부산광역시,북구,8141
부산광역시,해운대구,6784
부산광역시,사하구,6105
부산광역시,금정구,7328
부산광역시,강서구,7606
부산광역시,연제구,7020
부산광역시,수영구,6257
부산광역시,사상구,6947
부산광역시,기장군,4517
대구광역시,중구,3809
대구광역시,동구,7279
대구광역시,서구,8699
대구광역시,남구,5348
대구광역시,북구,5023
대구광역시,수성구,2002
대구광역시,달서구,8834
대구광역시,달성군,2025
인천광역시,중구,2907
인천광역시,동구,882
인천광역시,미추홀구,3750
인천광역시,연수구,4373
인천광역시,남동구,5658
인천광역시,부평구,2061
인천광역시,계양구,4585
인천광역시,서구,4417
인천광역시,강화군,1228
인천광역시,옹진군,589
광주광역시,동구,5446
광주광역시,서구,7668
광주광역시,남구,5782
광주광역시,북구,6672
광주광역시,광산구,4985
대전광역시,동구,6878
대전광역시,중구,10094
대전광역시,서구,10334
대전광역시,유성구,12576
대전광역시,대덕구,3153
울산광역시,중구,4177
울산광역시,남구,5485
울산광역시,동구,4676
울산광역시,북구,2839
울산광역시,울주군,3947
세종특별자치시,세종특별자치시,12542
경기도,수원시,22509
경기도,용인시,3739
경기도,성남시,1494
경기도,부천시,7609
경기도,화성시,879
경기도,안산시,21418
경기도,안양시,1325
경기도,평택시,3197
경기도,시흥시,6073
경기도,김포시,5625
경기도,광주시,597
경기도,광명시,4331
경기도,군포시,1448
경기도,하남시,3442
경기도,오산시,3119
경기도,이천시,1093
경기도,안성시,2332
경기도,의왕시,4403
경기도,양평군,1394
경기도,여주시,2822
경기도,과천시,637
경기도,고양시,1075
경기도,남양주시,802
경기도,파주시,744
경기도,의정부시,793
경기도,양주시,1890
경기도,구리시,477
경기도,포천시,2833
경기도,동두천시,390
경기도,가평군,1717
경기도,연천군,534
강원특별자치도,춘천시,6815
강원특별자치도,원주시,9663
강원특별자치도,강릉시,4744
강원특별자치도,동해시,2506
강원특별자치도,태백시,571
강원특별자치도,속초시,489
강원특별자치도,삼척시,528
강원특별자치도,홍천군,762
강원특별자치도,횡성군,802
강원특별자치도,영월군,872
강원특별자치도,평창군,210
강원특별자치도,정선군,1198
강원특별자치도,철원군,712
강원특별자치도,화천군,656
강원특별자치도,양구군,581
강원특별자치도,인제군,958
강원특별자치도,고성군,540
강원특별자치도,양양군,621
충청북도,청주시,21072
충청북도,충주시,7768
충청북도,제천시,7085
충청북도,보은군,2717
충청북도,옥천군,3243
충청북도,영동군,2529
충청북도,증평군,2145
충청북도,진천군,2591
충청북도,괴산군,2441
충청북도,음성군,3388
충청북도,단양군,2509
충청남도,천안시,17306
충청남도,공주시,3053
충청남도,보령시,4347
충청남도,아산시,9936
충청남도,서산시,2483
충청남도,논산시,4373
충청남도,계룡시,4036
충청남도,당진시,10758
충청남도,금산군,750
충청남도,부여군,1598
충청남도,서천군,1080
충청남도,청양군,1041
충청남도,홍성군,2169
충청남도,예산군,2237
충청남도,태안군,1901
전라북도,전주시,26774
전라북도,군산시,6615
전라북도,익산시,5821
전라북도,정읍시,5300
전라북도,남원시,2618
전라북도,김제시,1741
전라북도,완주군,2310
전라북도,진안군,1089
전라북도,무주군,1537
전라북도,장수군,1377
전라북도,임실군,1321
전라북도,순창군,1567
전라북도,고창군,2528
전라북도,부안군,1689
전라남도,강진군,2110
전라남도,고흥군,984
전라남도,곡성군,837
전라남도,광양시,13987
전라남도,구례군,1309
전라남도,나주시,7421
전라남도,담양군,703
전라남도,목포시,21076
